[MASTER] 11:32:15.573 [pool-2-thread-1] WARN  TestSuiteSerialization - Cannot load tests because file does not exist: C:\Users\thomas.verhulst\Documents\workspace-sts-3.9.5.RELEASE\coolestuffvoorcheops\.evosuite\evosuite-seeds\com.cheops.candidatemanager.services.impl.SalaryPackageService.seed
[MASTER] 11:32:15.716 [pool-2-thread-1] WARN  TimeController - Phase INITIALIZATION lasted too long, 1 seconds more than allowed.
[MASTER] 11:32:19.232 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<com.cheops.candidatemanager.models.SalaryPackage> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 11:32:19.432 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.cheops.candidatemanager.repositories.SalaryPackageRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 11:32:21.472 [pool-2-thread-1] WARN  TestFactory - Bounded variable issue when calling createVariable()
[MASTER] 11:32:21.472 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 11:32:24.793 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLWarning due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.DataTruncation due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLRecoverableException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLInvalidAuthorizationSpecException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLDataException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 11:32:26.683 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLWarning due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.BatchUpdateException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransactionRollbackException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 11:32:27.133 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.lang.Object> canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 11:32:27.433 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLWarning due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 11:32:29.170 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLWarning due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLFeatureNotSupportedException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLRecoverableException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLClientInfoException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 11:32:29.708 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.TreeSet due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 11:32:30.289 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.DataTruncation due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransientException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 11:32:30.498 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLWarning due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransientException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.BatchUpdateException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLClientInfoException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTimeoutException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 11:32:31.881 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for com.cheops.candidatemanager.models.SalaryPackage due to org.evosuite.ga.ConstructionFailedException: Have no generator for class com.cheops.candidatemanager.models.SalaryPackage canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 11:32:32.180 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 5, type java.util.function.Function<java.lang.Object, java.util.Optional<java.lang.Object>> is not assignable to java.util.function.Function<? super java.lang.Object, ? extends java.util.Optional<java.sql.SQLWarning>>
[MASTER] 11:32:33.958 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.LinkedHashSet due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 11:32:34.156 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.LinkedList due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 11:32:34.668 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.PriorityQueue due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 11:32:34.947 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.HashSet due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 11:32:35.188 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.HashSet due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.TreeSet due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 11:32:35.812 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.Vector due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 11:32:37.868 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.ArrayDeque due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 11:32:38.735 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.ArrayList due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
