[MASTER] 14:51:13.690 [pool-2-thread-1] WARN  TimeController - Phase INITIALIZATION lasted too long, 2 seconds more than allowed.
[MASTER] 14:51:18.066 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<com.cheops.candidatemanager.models.Address> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:51:18.579 [pool-2-thread-1] WARN  TestFactory - Bounded variable issue when calling createVariable()
[MASTER] 14:51:18.579 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.AddressService
[MASTER] 14:51:19.477 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.cheops.candidatemanager.repositories.AddressRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 14:51:19.893 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.ArrayList due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.AddressService
[MASTER] 14:51:20.581 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.LinkedHashSet due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.AddressService
[MASTER] 14:51:20.906 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.HashSet due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.AddressService
[MASTER] 14:51:24.551 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.Vector due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.HashSet due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.AddressService
[MASTER] 14:51:25.697 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.TreeSet due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.AddressService
[MASTER] 14:51:27.100 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.Vector due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.AddressService
[MASTER] 14:51:30.561 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.LinkedList due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.AddressService
[MASTER] 14:51:31.360 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.ArrayDeque due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.AddressService
