[MASTER] 14:53:54.084 [pool-2-thread-1] WARN  TimeController - Phase INITIALIZATION lasted too long, 1 seconds more than allowed.
[MASTER] 14:53:57.330 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<com.cheops.candidatemanager.models.SalaryPackage> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:53:57.400 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for interface com.cheops.candidatemanager.repositories.SalaryPackageRepository canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 14:53:58.773 [pool-2-thread-1] WARN  TestFactory - Bounded variable issue when calling createVariable()
[MASTER] 14:53:58.773 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.LinkedList due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 14:54:00.687 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.Vector due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 14:54:04.248 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.LinkedHashSet due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 14:54:12.170 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.PriorityQueue due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 14:54:12.899 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.ArrayList due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 14:54:21.278 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.TreeSet due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 14:54:22.299 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.ArrayDeque due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
[MASTER] 14:54:22.578 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.HashSet due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class com.cheops.candidatemanager.services.impl.SalaryPackageService
