TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,LineCoverage,LineCoverageBitString,BranchCoverage,BranchCoverageBitString,CBranchCoverage,CBranchCoverageBitString,WeakMutationScore,WeakMutationCoverageBitString,MethodTraceCoverage,MethodTraceCoverageBitString
com.cheops.candidatemanager.configuration.SecurityConfiguration,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.41379310344827586,1015,420,0.0,0000000000,0.0,0000000,0.0,0000000,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,0.0,0
com.cheops.candidatemanager.configuration.StorageProperties,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.4292828685258964,1004,431,1.0,11111,1.0,111,0.0,000,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,1.0,111
com.cheops.candidatemanager.controllers.ApplicationProcessController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.4336283185840708,1017,441,1.0,111111111111,1.0,111111,0.0,000000,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,1.0,111
com.cheops.candidatemanager.controllers.CancidateController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.3565365025466893,1178,420,0.0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,0000000000000000000000000000000,0.0,0000000000000000000000000000000,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,0.0,00000000000000
com.cheops.candidatemanager.controllers.FileUploadController2,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.42630597014925375,1072,457,0.6129032258064516,1111111110000000001010111101111,0.36,1111100000000101011000000,0.32,0101010100010100100000001,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,1.0,1
com.cheops.candidatemanager.controllers.FileUploaderController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.41015625,1024,420,0.0,0000000000000000000,0.0,00000,0.0,00000,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,0.0,00000
com.cheops.candidatemanager.controllers.MessageOfTheDayController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.42685370741482964,998,426,1.0,11,1.0,11,0.0,00,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,1.0,11
com.cheops.candidatemanager.controllers.MyFileUploadController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.39660056657223797,1059,420,0.0,00000000000000000000000000000000000,0.0,00000000000000,0.0,00000000000000,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,0.0,000000
com.cheops.candidatemanager.controllers.OpenIdController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.4264264264264264,999,426,0.6666666666666666,110,1.0,11,0.0,00,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,1.0,11
com.cheops.candidatemanager.controllers.RoleController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.4255533199195171,994,423,1.0,1,1.0,1,0.0,0,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,1.0,1
